"Note: <i>Current data is only available till 2017.</i>"
"Samuel H. Williamson, 'What Was the U.S. GDP Then?' MeasuringWorth, 2019."
"Year","Nominal GDP (million of Dollars)","Real GDP (millions of 2012 dollars)","GDP Deflator (index 2012=100)","Population (in thousands)","Nominal GDP per capita (current dollars)","Real GDP per capita (year 2012 dollars)"
"1790","189","4,568","4.14","3,929.00","48.10","1,162.75"
"1791","206","4,842","4.25","4,048.00","50.89","1,196.26"
"1792","225","5,199","4.33","4,172.00","53.93","1,246.28"
"1793","251","5,612","4.47","4,299.00","58.39","1,305.44"
"1794","315","6,354","4.96","4,429.00","71.12","1,434.73"
"1795","383","6,758","5.67","4,563.00","83.94","1,480.96"
"1796","417","6,972","5.98","4,701.00","88.70","1,483.05"
"1797","409","7,113","5.75","4,844.00","84.43","1,468.31"
"1798","413","7,417","5.57","4,990.00","82.77","1,486.37"
"1799","442","7,941","5.57","5,141.00","85.98","1,544.63"
"1800","480","8,393","5.72","5,297.00","90.62","1,584.57"
"1801","514","8,802","5.84","5,461.00","94.12","1,611.78"
"1802","451","9,079","4.97","5,632.00","80.08","1,612.06"
"1803","487","9,232","5.27","5,809.00","83.84","1,589.33"
"1804","533","9,591","5.56","5,991.00","88.97","1,600.98"
"1805","561","10,100","5.55","6,180.00","90.78","1,634.25"
"1806","617","10,577","5.83","6,379.00","96.72","1,658.16"
"1807","589","10,587","5.56","6,588.00","89.40","1,606.99"
"1808","646","10,610","6.09","6,797.00","95.04","1,560.98"
"1809","687","11,422","6.01","7,009.00","98.02","1,629.56"
"1810","706","12,055","5.86","7,224.00","97.73","1,668.70"
"1811","767","12,603","6.09","7,436.00","103.15","1,694.84"
"1812","786","13,106","6.00","7,651.00","102.73","1,712.95"
"1813","969","13,851","7.00","7,867.00","123.17","1,760.67"
"1814","1,078","14,431","7.47","8,085.00","133.33","1,784.89"
"1815","925","14,547","6.36","8,308.00","111.34","1,751.01"
"1816","819","14,546","5.63","8,540.00","95.90","1,703.31"
"1817","769","14,884","5.17","8,790.00","87.49","1,693.33"
"1818","737","15,425","4.78","9,057.00","81.37","1,703.12"
"1819","726","15,723","4.62","9,335.00","77.77","1,684.34"
"1820","710","16,352","4.34","9,618.00","73.82","1,700.17"
"1821","735","17,223","4.27","9,899.00","74.25","1,739.84"
"1822","805","17,875","4.50","10,189.00","79.01","1,754.32"
"1823","759","18,522","4.10","10,488.00","72.37","1,765.97"
"1824","754","19,620","3.84","10,795.00","69.85","1,817.49"
"1825","822","20,498","4.01","11,115.00","73.95","1,844.13"
"1826","866","21,227","4.08","11,449.00","75.64","1,854.07"
"1827","916","21,886","4.19","11,797.00","77.65","1,855.18"
"1828","897","22,182","4.04","12,158.00","73.78","1,824.45"
"1829","930","23,025","4.04","12,525.00","74.25","1,838.31"
"1830","1,022","25,142","4.06","12,901.00","79.22","1,948.81"
"1831","1,052","27,217","3.87","13,277.00","79.23","2,049.96"
"1832","1,129","29,057","3.89","13,676.00","82.55","2,124.66"
"1833","1,158","29,951","3.87","14,086.00","82.21","2,126.33"
"1834","1,219","30,455","4.00","14,504.00","84.05","2,099.80"
"1835","1,340","32,071","4.18","14,917.00","89.83","2,149.99"
"1836","1,479","33,021","4.48","15,340.00","96.41","2,152.58"
"1837","1,554","33,323","4.66","15,790.00","98.42","2,110.38"
"1838","1,598","34,702","4.60","16,224.00","98.50","2,138.90"
"1839","1,661","35,593","4.67","16,656.00","99.72","2,136.95"
"1840","1,574","35,691","4.41","17,120.00","91.94","2,084.73"
"1841","1,652","36,490","4.53","17,612.00","93.80","2,071.86"
"1842","1,618","37,656","4.30","18,124.00","89.27","2,077.70"
"1843","1,568","39,522","3.97","18,641.00","84.12","2,120.16"
"1844","1,702","41,768","4.07","19,157.00","88.84","2,180.29"
"1845","1,859","44,412","4.19","19,708.00","94.33","2,253.49"
"1846","2,065","48,020","4.30","20,313.00","101.66","2,364.03"
"1847","2,410","51,289","4.70","20,987.00","114.83","2,443.85"
"1848","2,427","53,018","4.58","21,706.00","111.81","2,442.57"
"1849","2,419","53,755","4.50","22,464.00","107.68","2,392.96"
"1850","2,581","56,252","4.59","23,261.00","110.96","2,418.31"
"1851","2,724","60,780","4.48","24,095.00","113.05","2,522.50"
"1852","3,066","67,799","4.52","24,999.00","122.64","2,712.06"
"1853","3,311","73,343","4.51","25,911.00","127.78","2,830.56"
"1854","3,713","75,875","4.89","26,856.00","138.26","2,825.26"
"1855","3,975","79,039","5.03","27,727.00","143.36","2,850.60"
"1856","4,047","82,213","4.92","28,497.00","142.01","2,884.96"
"1857","4,180","82,634","5.06","29,298.00","142.67","2,820.46"
"1858","4,093","85,978","4.76","30,068.00","136.12","2,859.45"
"1859","4,425","92,203","4.80","30,780.00","143.76","2,995.56"
"1860","4,387","93,146","4.71","31,513.00","139.21","2,955.80"
"1861","4,643","94,805","4.90","32,215.00","144.13","2,942.89"
"1862","5,844","106,586","5.48","32,889.00","177.69","3,240.77"
"1863","7,698","114,782","6.71","33,607.00","229.06","3,415.41"
"1864","9,549","116,084","8.23","34,376.00","277.78","3,376.89"
"1865","9,977","119,408","8.36","35,182.00","283.58","3,394.01"
"1866","9,081","113,929","7.97","36,052.00","251.89","3,160.14"
"1867","8,424","115,883","7.27","36,970.00","227.86","3,134.52"
"1868","8,224","120,403","6.83","37,885.00","217.08","3,178.13"
"1869","7,921","123,679","6.40","38,870.00","203.78","3,181.87"
"1870","7,812","127,371","6.13","39,905.00","195.76","3,191.86"
"1871","7,665","133,430","5.74","41,010.00","186.91","3,253.61"
"1872","8,309","144,596","5.75","42,066.00","197.52","3,437.36"
"1873","8,837","156,931","5.63","43,225.00","204.44","3,630.56"
"1874","8,563","159,785","5.36","44,429.00","192.73","3,596.41"
"1875","8,239","159,500","5.17","45,492.00","181.11","3,506.11"
"1876","8,388","166,103","5.05","46,459.00","180.55","3,575.27"
"1877","8,604","174,368","4.93","47,400.00","181.52","3,678.64"
"1878","8,460","179,970","4.70","48,319.00","175.09","3,724.63"
"1879","9,449","200,947","4.70","49,264.00","191.80","4,078.98"
"1880","10,462","217,601","4.81","50,262.00","208.15","4,329.34"
"1881","11,740","244,810","4.80","51,466.00","228.11","4,756.74"
"1882","12,331","257,803","4.78","52,893.00","233.13","4,874.04"
"1883","12,435","264,932","4.69","54,435.00","228.44","4,866.94"
"1884","11,896","260,564","4.57","55,826.00","213.09","4,667.43"
"1885","11,705","261,466","4.48","57,128.00","204.89","4,576.85"
"1886","12,297","282,732","4.35","58,258.00","211.08","4,853.10"
"1887","13,273","303,271","4.38","59,357.00","223.61","5,109.27"
"1888","14,000","320,708","4.37","60,614.00","230.97","5,290.98"
"1889","13,987","329,923","4.24","61,893.00","225.99","5,330.54"
"1890","15,223","361,975","4.21","63,056.00","241.42","5,740.53"
"1891","15,558","366,254","4.25","64,432.00","241.46","5,684.35"
"1892","16,514","384,917","4.29","65,920.00","250.52","5,839.16"
"1893","15,566","362,574","4.29","67,470.00","230.71","5,373.86"
"1894","14,280","345,390","4.13","68,910.00","207.23","5,012.19"
"1895","15,754","384,856","4.09","70,076.00","224.81","5,491.97"
"1896","15,643","378,497","4.13","71,188.00","219.74","5,316.86"
"1897","16,309","394,811","4.13","72,441.00","225.13","5,450.11"
"1898","18,263","437,979","4.17","73,600.00","248.14","5,950.80"
"1899","19,694","467,929","4.21","74,793.00","263.31","6,256.32"
"1900","20,766","479,691","4.33","76,094.00","272.90","6,303.93"
"1901","22,484","505,153","4.45","77,584.00","289.80","6,511.04"
"1902","24,294","531,100","4.57","79,163.00","306.89","6,708.94"
"1903","26,180","546,598","4.79","80,632.00","324.68","6,778.93"
"1904","25,928","527,245","4.92","82,166.00","315.56","6,416.83"
"1905","29,066","586,735","4.95","83,822.00","346.76","6,999.77"
"1906","31,336","610,728","5.13","85,450.00","366.72","7,147.19"
"1907","34,178","626,420","5.46","87,008.00","392.81","7,199.57"
